Identifikasjonsnummer	Tittel / betegnelse	Emne nivå 1	Emne nivå 2	Emne nivå 1	Emne nivå 2	Tilstand 0 - 3  (Skjult)	Datering:Sikker eller usikker	Fra:	Til:	Produksjonssted: Sikker eller usikker	By	Land	Verdensdel	Kunstner/produsent	Bredde (cm)	Høyde (cm)	Dybde (cm)	Vekt (gram)	Materiale/teknikk	Proviniens	Oppbevares hvor (Skjult)	Rom:  (Skjult)	H:  (Skjult)	V:  (Skjult)	Annet sted:  (Skjult)	Utlånt  (Skjult)	Supplerende	Nøkkelord	Referanselitteratur
GA_LH_000029	Figures of British Land Birds	Bøker	Bewick, Thomas	Bøker	Illustrerte	1	Sikker	1800		Sikker	Newcastle	Storbritannia	Europa	Bewick, Thomas	14.7	24.5			Innbundet		Magasinet	Reol A2	Hylle 3	Midten			Newcastle upon Tyne: R. Beilby og T. Bewick, 1800. Bind 1. Illustrasjoner i xylografi av Thomas Bewick. 	Lysten og hemmeligheten, Bewick, xylografi, illustrerte, bøker, naturhistorie, Storbritannia, 1800-1899	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000030	25 images de la passion d'un homme	Bøker	Illustrerte	Bøker	Masereel, Frans	0	Sikker	1918		Sikker	Genève	Sveits	Europa	Masereel, Frans	24	29.6			Tresnitt, ubundne sider i omslag		Magasinet	Reol A1	Hylle 1	Høyre, liggende			Genève: Kunstnerens eget forlag, 1918. Signert "Exemplaire l'auteur". Bilderoman med originale tresnitt av Frans Masereel.	Lysten og hemmeligheten, Masereel, blokkbøker, tresnitt, bildebøker, illustrerte, bøker, originalgrafikk, Belgia, Sveits, 1910-1919	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000031	Mein Stundenbuch	Bøker	Illustrerte	Bøker	Masereel, Frans	1	Sikker	1927		Sikker	München	Tyskland	Europa	Masereel, Frans	11.9	15.5			Innbundet	Håndskrevet innskrift, dedikasjon: "Til Ragnar Bjørnaraa, fra Albert Jærn. 15/10/27".	Magasinet	Reol A1	Hylle 2	Venstre, i kasse			München: Kurt Wolff Verlag, 1927. Bilderoman med illustrasjoner i tresnitt av Frans Masereel. Forord av Thomas Mann.	Lysten og hemmeligheten, Masereel, tresnitt, bildebøker, illustrerte, bøker, Belgia, Tyskland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000032	Mot Dag. Litterraturnummer	Magasiner	Diverse				Sikker	1923		Sikker	Oslo	Norge	Europa	Hoel, Sigurd & Falk, Erling (red.)	19	26			Innbundet						IKKE merket		Kristiania 1923, 3. årgang, nr. 11. Tidsskriftet "Mot Dag"s litteraturnummer. Forsideillustrasjon av Frans Masereel. 	Lysten og hemmeligheten, magasiner, Masereel, Norge, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000033	Og så kom befrierne: utdrag av min dagbok gjennom fem år	Bøker	Artist's books			1	Sikker	1945		Sikker	Oslo	Norge	Europa	Jærn, Albert	21.9	29.6			Tresnitt, innbundet		Magasinet	Reol A2	Hylle 2	Midten			Oslo: Reistad & Sønn, 17. mai 1945. Nr. 62. Utgitt i 200 nummererte og signerte eksemplarer. Med 100 originale tresnitt og et et stort antall mindre vignetter. 	Lysten og hemmeligheten, Jærn, tresnitt, originalgrafikk, krig, bøker,  artist's books, Norge, 1940-1949	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000034	Orfeus og Eurydike	Bøker	Illustrerte			0	Sikker	1959		Sikker	København	Danmark	Europa	Nielsen, Palle	32.7	43			Linoleumssnitt, innbundet. Tilhørende futteral i papp		Magasinet	Reol A1	Hylle 1	Høyre, liggende			København: Hans Reitzel, 1959. Første del. Bildebok av Pallle Nielsen. Løse vedlegg: to sett ubundne sider med introduksjonstekst i engelsk oversettelse og kolofon.	Lysten og hemmeligheten, Nielsen, linoleumssnitt, bildebøker, illustrerte, bøker, originalgrafikk, 1950-1959	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000035	Om dette: Til henne og til meg	Bøker	Russisk avant-garde			1	Sikker	1923		Sikker	Moskva	Russland	Europa	Majakovskij, Vladimir	15.1	23			Heftet		Magasinet	Reol A2	Hylle 1	Høyre, i eget etui, liggende			Moskva: Gosudarstvennoe izdatel'stvo, 1923. Diktbok av Vladimir Majakovskij. Formgitt og illustrert av Aleksandr Rodtsjenko.	Lysten og hemmeligheten, avant-garde, bøker, Rodtsjenko, Majakovskij, fotomontasje, Russland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000036	Et spill i helvete	Bøker	Russisk avant-garde			1	Sikker	1914		Sikker	St. Petersburg	Russland	Europa	Khlebnikov, Velimir & Krutsjenykh, Aleksej	13.3	18.1			Litografi, heftet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			St. Petersburg 1914. Diktbok av Velimir Khlebnikov og  Aleksej Krutsjenykh . Omslag av Kazimir Malevitsj. Illustrasjoner av Olga Rozanovas.	Lysten og hemmeligheten, avant-garde, bøker, Malevitsj,  Rozanovas, Khlebnikov, Krutsjenykh, litografi, Russland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000037	For stemmen (Dlia golosa)	Bøker	Russisk avant-garde			1	Sikker	1923		Sikker	Moskva	Russland	Europa	Majakovskij, Vladimir	13.4	18.8									IKKE merket	Korea	Moskva: Gosudarstvennoe izdatel'stvo, 1923. Diktbok av Vladimir Majakovskij. Formgitt og illustrert av El Lissitzky. 	bøker, avant-garde, Lissitsky, Majakovskij, Russland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
GA_LH_000038	Poetens notater	Bøker	Russisk avant-garde			1	Sikker	1928		Sikker	Berlin	Tyskland	Europa	Selvinskij, Ilja	12.1	17			Heftet		Magasinet	Reol A1	Hylle 2	Venstre, i kasse			Berlin: Gosudarstvennoje izdatel'stvo, 1928. Diktbok av Ilja Selvinskij. Omslag og fotomontasje av El Lissitzky. 	Lysten og hemmeligheten, avant-garde, bøker, Selvinskij, fotomontasje, Lissitzky, Russland, 1920-1929	"Lysten og hemmeligheten", Guttorm Guttormsgaard, Pax forlag, 2004.
